vertices
2,3,2
1,3,1
1,3,2
2,3,1
2,2,2
3,2,0
1,2,2
3,3,2
3,1,1
3,2,1
edges
Ray3,1,2,2,-1,0,0
Ray3,3,3,2,0,0,1
Ray3,1,3,1,-1,0,0
Ray3,3,2,1,1,-2,-2
Ray3,1,2,2,0,-1,-1
Segment3,2,3,2,3,2,1
Segment3,2,3,2,2,3,1
Ray3,1,3,1,0,-1,-1
Ray3,1,3,2,-1,0,0
Segment3,1,3,1,1,3,2
Segment3,1,3,2,1,2,2
Ray3,1,3,2,0,1,0
Ray3,1,3,2,-1,1,1
Ray3,3,2,0,1,-2,-2
Ray3,1,3,2,0,0,1
Ray3,1,3,1,0,1,0
Segment3,1,3,1,2,3,1
Segment3,2,3,1,3,2,0
Ray3,2,3,1,0,1,0
Segment3,2,2,2,1,2,2
Ray3,2,2,2,0,0,1
Segment3,2,2,2,2,3,2
Segment3,2,2,2,3,1,1
Ray3,3,2,0,0,1,0
Segment3,3,2,0,3,2,1
Segment3,1,3,2,2,3,2
Ray3,1,2,2,0,0,1
Ray3,3,3,2,0,1,0
Ray3,2,3,2,0,0,1
Ray3,3,1,1,0,0,1
Ray3,3,1,1,1,-2,-2
Ray3,3,3,2,1,0,0
Segment3,3,1,1,3,2,1
Ray3,2,3,2,0,1,0
Segment3,2,3,2,3,3,2
Segment3,3,3,2,3,2,1
